unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643108580,36488.0,36514.7,36474.5,36514.7,36507.2,0.16819558,7,2022-01-25 11:03:00,6141.611145026
1643108640,36514.7,36563.5,36514.7,36563.5,36551.6,0.08586469,9,2022-01-25 11:04:00,3139.513592815
1643108700,36563.5,36563.5,36514.9,36537.4,36525.9,0.24992547,7,2022-01-25 11:05:00,9131.626867578001
1643108760,36537.3,36537.3,36532.8,36537.3,36536.9,0.13503618,7,2022-01-25 11:06:00,4933.857419514001
1643108820,36537.3,36537.3,36537.3,36537.3,36537.3,0.05060310,8,2022-01-25 11:07:00,1848.90064563
1643108880,36537.3,36581.6,36537.3,36580.7,36574.8,0.85835878,18,2022-01-25 11:08:00,31399.365023545997
1643108940,36580.8,36591.8,36580.7,36591.8,36580.8,0.09706721,9,2022-01-25 11:09:00,3551.8639348780002
1643109000,36574.5,36577.3,36561.2,36570.2,36573.5,0.01704203,7,2022-01-25 11:10:00,623.2304455059999
1643109060,36576.8,36576.8,36568.3,36575.4,36568.7,5.10346832,11,2022-01-25 11:11:00,186661.39519132802
1643109120,36576.5,36577.0,36568.3,36568.3,36570.0,0.10183121,7,2022-01-25 11:12:00,3723.7942366430007
1643109180,36568.3,36568.3,36568.2,36568.2,36568.2,0.15939379,13,2022-01-25 11:13:00,5828.743991478
1643109240,36568.3,36573.7,36568.3,36573.7,36569.3,0.04135626,6,2022-01-25 11:14:00,1512.5514463619998
1643109300,36579.8,36617.8,36570.0,36584.1,36591.7,0.09391965,6,2022-01-25 11:15:00,3435.965867565
1643109360,36571.4,36571.5,36537.4,36537.4,36567.4,0.45213501,22,2022-01-25 11:16:00,16519.837714374
1643109420,36537.4,36537.4,36536.2,36536.2,36537.3,0.45766287,9,2022-01-25 11:17:00,16721.262150894
1643109480,36536.3,36536.3,36485.9,36491.5,36509.7,0.35296391,16,2022-01-25 11:18:00,12880.182521765
1643109540,36441.4,36446.6,36441.4,36446.6,36443.5,0.01557829,2,2022-01-25 11:19:00,567.775704314
1643109600,36442.2,36442.2,36431.9,36434.8,36435.5,0.12576381,7,2022-01-25 11:20:00,4582.1792645880005
1643109660,36431.8,36437.0,36424.5,36436.2,36433.1,1.79456147,32,2022-01-25 11:21:00,65387.000633214
1643109720,36436.1,36436.2,36436.1,36436.1,36436.1,0.00686958,4,2022-01-25 11:22:00,250.300703838
1643109780,36436.1,36436.1,36436.1,36436.1,36436.1,0.00156252,2,2022-01-25 11:23:00,56.932134972
1643109840,36399.9,36399.9,36310.7,36313.0,36354.9,0.07211952,27,2022-01-25 11:24:00,2618.8761297600004
1643109900,36316.1,36316.1,36308.2,36308.2,36308.4,0.49848073,14,2022-01-25 11:25:00,18098.938040986
1643109960,36308.2,36308.3,36254.3,36308.3,36273.6,1.05920116,31,2022-01-25 11:26:00,38457.793477628
1643110020,36308.3,36308.3,36259.6,36263.2,36291.7,0.03865893,9,2022-01-25 11:27:00,1401.896510376
1643110080,36286.1,36292.5,36286.1,36292.5,36287.8,0.15132601,4,2022-01-25 11:28:00,5491.999217925
1643110140,36297.6,36307.3,36292.6,36292.6,36304.4,0.01874280,4,2022-01-25 11:29:00,680.2249432799999
1643110200,36292.8,36322.8,36292.5,36322.8,36300.4,0.08502428,13,2022-01-25 11:30:00,3088.319917584
1643110260,36325.8,36357.6,36286.7,36286.7,36345.3,2.13973712,25,2022-01-25 11:31:00,77643.998952304
1643110320,36291.2,36297.9,36291.2,36297.9,36296.2,0.00383241,4,2022-01-25 11:32:00,139.108434939
1643110380,36300.2,36321.4,36300.2,36319.2,36318.5,0.05696789,7,2022-01-25 11:33:00,2069.028190488
1643110440,36329.6,36335.9,36319.0,36331.8,36329.7,0.14596832,9,2022-01-25 11:34:00,5303.291808576001
1643110500,36333.0,36350.0,36333.0,36340.5,36342.6,0.08699229,10,2022-01-25 11:35:00,3161.343314745
1643110560,36334.1,36391.7,36334.1,36388.4,36364.7,0.09829982,11,2022-01-25 11:36:00,3576.973170088
1643110620,36394.1,36410.8,36394.1,36403.7,36404.8,0.05287164,6,2022-01-25 11:37:00,1924.7233210679997
1643110680,36404.7,36419.6,36381.6,36381.6,36397.5,0.93765756,26,2022-01-25 11:38:00,34113.482284895996
1643110740,36392.9,36418.1,36380.5,36380.5,36387.4,0.30996254,6,2022-01-25 11:39:00,11276.59218647
1643110800,36350.0,36350.0,36320.2,36323.3,36323.1,0.68849861,8,2022-01-25 11:40:00,25008.541560613
1643110860,36324.1,36332.5,36315.9,36315.9,36322.0,0.73363099,22,2022-01-25 11:41:00,26642.469669741
1643110920,36302.2,36306.4,36300.0,36300.1,36300.6,0.22495478,9,2022-01-25 11:42:00,8165.881009477999
1643110980,36337.2,36337.2,36318.4,36334.9,36333.7,0.17669203,9,2022-01-25 11:43:00,6420.087240847
1643111040,36329.3,36364.3,36328.5,36364.3,36334.5,0.21631720,19,2022-01-25 11:44:00,7866.22355596
1643111100,36399.8,36400.7,36384.9,36385.2,36385.9,0.04205224,5,2022-01-25 11:45:00,1530.079162848
1643111160,36385.2,36417.0,36366.9,36405.6,36379.9,0.08978466,10,2022-01-25 11:46:00,3268.6644180959997
1643111220,36404.9,36411.0,36404.9,36411.0,36409.8,0.01090779,4,2022-01-25 11:47:00,397.16354169000005
1643111280,36424.3,36424.3,36418.1,36424.2,36419.5,0.03268587,5,2022-01-25 11:48:00,1190.5566660539998
1643111340,36424.3,36450.0,36424.3,36450.0,36441.3,0.06317411,8,2022-01-25 11:49:00,2302.6963095
1643111400,36450.0,36450.0,36449.9,36449.9,36449.9,0.00722277,5,2022-01-25 11:50:00,263.269244223
1643111460,36431.1,36451.5,36429.5,36446.8,36438.1,0.60191936,9,2022-01-25 11:51:00,21938.034530048004
1643111520,36445.2,36448.0,36395.9,36405.8,36434.6,2.38631885,21,2022-01-25 11:52:00,86875.84678933
1643111580,36410.0,36414.3,36410.0,36414.3,36412.4,0.01234213,4,2022-01-25 11:53:00,449.43002445900004
1643111640,36416.5,36427.7,36379.1,36379.1,36412.4,0.07696874,5,2022-01-25 11:54:00,2800.0534893339996
1643111700,36343.6,36350.9,36336.8,36336.8,36337.2,0.01133478,4,2022-01-25 11:55:00,411.869633904
1643111760,36341.9,36371.3,36341.9,36371.3,36352.9,0.06975525,7,2022-01-25 11:56:00,2537.0891243250003
1643111820,36425.8,36490.5,36424.2,36490.5,36450.0,0.40043870,22,2022-01-25 11:57:00,14612.20838235
1643111880,36482.6,36482.6,36463.3,36476.6,36464.9,0.15890369,11,2022-01-25 11:58:00,5796.266338653999
1643111940,36476.5,36476.5,36437.0,36437.0,36450.4,0.40328888,13,2022-01-25 11:59:00,14694.63692056
1643112000,36437.4,36476.6,36437.3,36476.6,36440.3,1.93545948,17,2022-01-25 12:00:00,70598.98126816799
1643112060,36476.6,36476.6,36437.4,36437.5,36473.7,1.19142135,18,2022-01-25 12:01:00,43412.415440624995
1643112120,36440.2,36440.2,36437.4,36437.4,36437.7,0.20030297,12,2022-01-25 12:02:00,7298.519439078
1643112180,36437.5,36437.5,36422.9,36422.9,36437.3,0.25700381,13,2022-01-25 12:03:00,9360.824071249
