price,volume,time,buysell,ordtype,date,dollaramount
36629.30000,0.00265967,1643147229.2935,buy,limit,2022-01-25 21:47:09.293499904,97.421850331
36632.20000,0.00063930,1643147229.2948,buy,limit,2022-01-25 21:47:09.294800128,23.41896546
36633.70000,0.14161016,1643147229.2961,buy,limit,2022-01-25 21:47:09.296099840,5187.704118392
36633.70000,0.08795131,1643147229.2972,buy,limit,2022-01-25 21:47:09.297199872,3221.981905147
36633.70000,0.05990556,1643147229.391,buy,limit,2022-01-25 21:47:09.391000064,2194.5623133719996
36633.70000,0.11968221,1643147229.3921,buy,limit,2022-01-25 21:47:09.392100096,4384.402176477
36636.00000,0.00272952,1643147243.7919,buy,market,2022-01-25 21:47:23.791899904,99.99869472
36636.00000,0.00120000,1643147244.111,buy,market,2022-01-25 21:47:24.111000064,43.96319999999999
36639.60000,0.00010000,1643147245.5464,buy,market,2022-01-25 21:47:25.546400000,3.66396
36611.00000,0.00329607,1643147257.3313,sell,market,2022-01-25 21:47:37.331300096,120.67241877
36613.90000,0.00045905,1643147265.905,buy,limit,2022-01-25 21:47:45.904999936,16.807610795000002
36610.00000,0.00190995,1643147268.0303,buy,market,2022-01-25 21:47:48.030299904,69.9232695
36609.20000,0.00093464,1643147270.745,buy,market,2022-01-25 21:47:50.744999936,34.216422688
36618.20000,0.02143983,1643147273.7103,buy,market,2022-01-25 21:47:53.710299904,785.087982906
36591.40000,0.02000000,1643147285.3581,buy,market,2022-01-25 21:48:05.358099968,731.8280000000001
36573.40000,0.17398600,1643147292.2924,buy,market,2022-01-25 21:48:12.292399872,6363.2595724
36571.50000,0.00270270,1643147327.0994,buy,limit,2022-01-25 21:48:47.099399936,98.84179305
36571.50000,0.00329273,1643147333.9323,buy,market,2022-01-25 21:48:53.932300032,120.420075195
36571.50000,0.00186292,1643147346.2887,buy,market,2022-01-25 21:49:06.288700160,68.12977878
36571.50000,0.03417962,1643147356.0241,buy,market,2022-01-25 21:49:16.024100096,1249.99997283
36571.50000,0.02000000,1643147356.3604,buy,market,2022-01-25 21:49:16.360399872,731.4300000000001
36571.50000,0.00147041,1643147370.2322,buy,limit,2022-01-25 21:49:30.232199936,53.775099315
36571.50000,0.00311275,1643147381.1654,buy,limit,2022-01-25 21:49:41.165400064,113.837936625
36571.50000,0.00266600,1643147387.5888,buy,market,2022-01-25 21:49:47.588800000,97.499619
36571.50000,0.00211128,1643147392.324,buy,limit,2022-01-25 21:49:52.324000000,77.21267652
36571.50000,0.00133635,1643147396.8358,buy,market,2022-01-25 21:49:56.835799808,48.872324025000005
36571.50000,0.02000000,1643147399.5312,buy,market,2022-01-25 21:49:59.531200000,731.4300000000001
36571.50000,0.01266900,1643147410.9424,buy,market,2022-01-25 21:50:10.942400000,463.32433349999997
36571.50000,0.00252107,1643147415.2845,buy,market,2022-01-25 21:50:15.284499968,92.199311505
36571.40000,0.00018283,1643147415.4285,sell,market,2022-01-25 21:50:15.428499968,6.686349062000001
36571.40000,0.00060062,1643147415.4301,sell,market,2022-01-25 21:50:15.430099968,21.965514268
36552.20000,0.01806030,1643147415.431,sell,market,2022-01-25 21:50:15.431000064,660.14369766
36524.90000,0.03800000,1643147425.9708,sell,limit,2022-01-25 21:50:25.970799872,1387.9462
36536.50000,0.00100100,1643147432.1906,buy,limit,2022-01-25 21:50:32.190599936,36.5730365
36533.00000,0.06835942,1643147436.836,buy,market,2022-01-25 21:50:36.836000000,2497.37469086
36527.90000,0.02500000,1643147440.5436,buy,limit,2022-01-25 21:50:40.543600128,913.1975000000001
36513.20000,0.02000000,1643147449.9884,buy,market,2022-01-25 21:50:49.988399872,730.264
36487.60000,0.02000000,1643147457.6087,buy,market,2022-01-25 21:50:57.608700160,729.752
36484.00000,0.00051703,1643147459.6285,buy,market,2022-01-25 21:50:59.628499968,18.86332252
36481.90000,0.01552662,1643147463.5887,buy,market,2022-01-25 21:51:03.588700160,566.440598178
36470.10000,0.02000000,1643147470.0401,buy,market,2022-01-25 21:51:10.040100096,729.4019999999999
36470.00000,0.00099533,1643147470.0818,sell,limit,2022-01-25 21:51:10.081799936,36.2996851
36480.60000,0.02737093,1643147475.9384,buy,limit,2022-01-25 21:51:15.938400000,998.507948958
36480.50000,0.00266652,1643147479.5869,buy,market,2022-01-25 21:51:19.586899968,97.27598286
36480.10000,0.02000000,1643147482.0133,buy,market,2022-01-25 21:51:22.013299968,729.602
36507.70000,0.23255623,1643147492.434,buy,market,2022-01-25 21:51:32.434000128,8490.093077971
36512.90000,0.00182356,1643147502.4851,buy,market,2022-01-25 21:51:42.485100032,66.583463924
36526.10000,0.02283465,1643147525.951,buy,market,2022-01-25 21:52:05.951000064,834.060709365
36524.50000,0.01368943,1643147539.3952,buy,limit,2022-01-25 21:52:19.395200000,499.99958603500005
36526.60000,0.00364791,1643147539.3965,buy,limit,2022-01-25 21:52:19.396500224,133.245749406
36522.70000,1.00000000,1643147546.7643,sell,market,2022-01-25 21:52:26.764300032,36522.7
36524.60000,0.01368937,1643147547.5947,buy,market,2022-01-25 21:52:27.594700032,499.998763502
36532.30000,0.00039461,1643147556.0763,sell,market,2022-01-25 21:52:36.076300032,14.416010903
36532.30000,0.00233379,1643147556.0781,sell,market,2022-01-25 21:52:36.078099968,85.25871641700002
36532.30000,0.09727160,1643147556.0794,sell,market,2022-01-25 21:52:36.079399936,3553.55527268
36532.20000,0.28164650,1643147556.0803,sell,market,2022-01-25 21:52:36.080300032,10289.1662673
36559.90000,0.03430501,1643147562.463,buy,limit,2022-01-25 21:52:42.463000064,1254.1877350989998
36567.00000,0.00010000,1643147563.5911,buy,market,2022-01-25 21:52:43.591099904,3.6567000000000003
36574.90000,0.00131880,1643147572.0428,buy,market,2022-01-25 21:52:52.042799872,48.23497812
36568.60000,0.00424400,1643147572.3683,sell,limit,2022-01-25 21:52:52.368300032,155.1971384
36568.70000,0.00023542,1643147573.5551,sell,limit,2022-01-25 21:52:53.555099904,8.609003353999999
36547.10000,0.00659441,1643147587.7003,sell,limit,2022-01-25 21:53:07.700300032,241.006561711
36546.90000,0.00547155,1643147588.7673,sell,market,2022-01-25 21:53:08.767299840,199.96819069500003
36548.60000,0.00681682,1643147597.6126,buy,limit,2022-01-25 21:53:17.612600064,249.145227452
36548.60000,0.10051989,1643147597.6253,buy,market,2022-01-25 21:53:17.625299968,3673.8612516539997
36548.50000,0.03203203,1643147601.3247,buy,limit,2022-01-25 21:53:21.324700160,1170.7226484550001
36563.60000,0.00179179,1643147636.0819,buy,limit,2022-01-25 21:53:56.081899776,65.514292844
36554.40000,0.00091779,1643147645.9465,buy,market,2022-01-25 21:54:05.946500096,33.549262776
36562.20000,0.00594990,1643147645.9477,buy,market,2022-01-25 21:54:05.947699968,217.54143377999998
36565.20000,0.00167890,1643147648.6749,buy,limit,2022-01-25 21:54:08.674899968,61.38931428
36558.20000,0.00547001,1643147650.7831,sell,market,2022-01-25 21:54:10.783099904,199.97371958199997
36592.80000,0.00260000,1643147667.6622,sell,market,2022-01-25 21:54:27.662200064,95.14128000000001
36609.70000,0.00100000,1643147672.6028,buy,limit,2022-01-25 21:54:32.602799872,36.6097
36609.70000,0.00038028,1643147676.1618,buy,market,2022-01-25 21:54:36.161799936,13.921936715999998
