Date,Open,High,Low,Close,Adj Close,Volume
2018-08-21,6.000000,6.740000,5.700000,6.150000,6.150000,272800
2018-08-22,6.440000,6.550000,6.180000,6.300000,6.300000,45600
2018-08-23,6.790000,6.790000,6.300000,6.350000,6.350000,27400
2018-08-24,6.580000,6.600000,6.300000,6.360000,6.360000,29900
2018-08-27,6.500000,6.500000,6.000000,6.150000,6.150000,35200
2018-08-28,6.050000,6.090000,5.400000,5.970000,5.970000,31300
2018-08-29,6.090000,6.500000,5.910000,6.250000,6.250000,81700
2018-08-30,6.400000,6.490000,6.110000,6.170000,6.170000,22500
2018-08-31,6.230000,6.230000,6.150000,6.200000,6.200000,15900
2018-09-04,6.250000,6.350000,6.220000,6.290000,6.290000,20800
2018-09-05,6.250000,6.350000,6.250000,6.340000,6.340000,31800
2018-09-06,6.500000,6.500000,6.400000,6.500000,6.500000,14700
2018-09-07,6.800000,6.800000,6.480000,6.550000,6.550000,13900
2018-09-10,6.990000,7.050000,6.520000,7.000000,7.000000,15900
2018-09-11,7.060000,7.950000,7.060000,7.650000,7.650000,80500
2018-09-12,8.000000,8.000000,7.530000,7.790000,7.790000,25400
2018-09-13,7.950000,7.950000,6.550000,7.350000,7.350000,36000
2018-09-14,7.280000,7.340000,7.000000,7.240000,7.240000,5100
2018-09-17,7.340000,7.470000,6.760000,7.030000,7.030000,8500
2018-09-18,7.000000,7.860000,6.970000,7.340000,7.340000,31700
2018-09-19,7.700000,7.700000,7.200000,7.380000,7.380000,8100
2018-09-20,7.370000,8.000000,7.260000,7.550000,7.550000,27100
2018-09-21,10.000000,10.000000,6.250000,6.990000,6.990000,6400
2018-09-24,7.110000,7.990000,6.500000,6.590000,6.590000,24400
2018-09-25,6.540000,7.000000,5.510000,6.310000,6.310000,17400
2018-09-26,6.270000,6.950000,6.240000,6.530000,6.530000,5400
2018-09-27,6.840000,8.640000,6.340000,8.250000,8.250000,70300
2018-09-28,8.500000,8.500000,7.240000,7.960000,7.960000,21000
2018-10-01,7.900000,8.500000,7.610000,7.640000,7.640000,6800
2018-10-02,7.430000,7.940000,7.300000,7.630000,7.630000,7000
2018-10-03,7.330000,7.380000,7.260000,7.260000,7.260000,4300
2018-10-04,7.060000,7.310000,6.750000,6.830000,6.830000,15500
2018-10-05,6.750000,6.870000,6.750000,6.840000,6.840000,8000
2018-10-08,6.500000,7.000000,6.500000,6.530000,6.530000,12700
2018-10-09,6.750000,6.990000,6.500000,6.940000,6.940000,17500
2018-10-10,7.100000,7.100000,6.500000,6.580000,6.580000,11500
2018-10-11,6.500000,6.770000,6.500000,6.770000,6.770000,4000
2018-10-12,7.300000,7.300000,6.500000,6.950000,6.950000,2000
2018-10-15,6.850000,6.850000,6.530000,6.530000,6.530000,700
